0,1,2,3,4,5
OVERVIEW OF NON-FINANCIAL DISCLOSURES,,,,,
,Environmental issues,Employee issues,Respect for human rights,Social issues,Anti-corruption and prevention of bribery
Section,Sustainability and Indirect Financial Targets,Sustainability and Indirect Financial Targets,Sustainability and Indirect Financial Targets,Social responsibility,Sustainability and Indirect Financial Targets
,"Climate, energy and environment",Sustainability in supplier management,Sustainability in supplier management,,Sustainability in supplier management
,Sustainability in supplier management,Employees EU Taxonomy Opportunity and risk report,Employees,,Compliance
,,,EU Taxonomy,,EU Taxonomy
,EU Taxonomy Opportunity and risk report,,Opportunity and risk report,,Opportunity and risk report Key corporate governance principles and practices
