0,1,2,3,4,5
Topic,ISSB Code,Metric,Unit of Measure,Magna 2023 Data(2),Change from 2021 Baseline(3)
Emissions,"ISSB S2, 29(a)(i)",Scope 1 emissions,Metric Tons (t) CO2e,"424,561 t",$ 2.7%
,"ISSB S2, 29(a)(i)",Scope 2 emissions(1),Metric Tons (t) CO2e,"1,150,656 t",₸ 5.6%
,"ISSB S2, 29(a)(i)",Scope 3 emissions(3),Metric Tons (t) CO2e,"58,655,441 (4)",-
