0,1,2,3
SASB Accounting Metric (TR-AP-130a.1),2023,2022,2021
Aggregate amount of energy consumed by Magna,"20,077,657 GJ 5,577,127 MWh","19,859,666 GJ 5,516,574 MWh","19,681,540 GJ 5,467,094 MWh"
Percentage of energy consumed by Magna that was supplied from grid electricity,59.0%,58.0%,57.0%
Percentage of energy consumed by Magna that is renewable energy,12.9%(1),8.8%(2),8.2%
