0,1,2,3
,2023,2022,20215
Costs for training (incl. dual university studies) in € millions1,95,97,93
"Costs for further education in € millions2, 3",81,69,62
Qualification days per employee/year4,2.0,2.0,1.6
of which qualification days for women/year4,1.9,1.7,1.2
Qualification hours per employee/year4,16.0,16.0,11.2
