0,1,2,3
GRI 305-7,,,
,2023,2022,20211
Solvents (VOC),"3,642","4,036","3,780"
Sulphur dioxide (SO2),20,20,13
Carbon monoxide (CO),892,"1,121","1,269"
Nitrogen oxides (NOx),435,455,625
Dust (total),122,108,149
