0,1,2,3
Standard,Disclosure,Reference Additional information and reasons,External audit*
3-3,Management of material topics,"71 SR . Sustainable corporate governance . Tax obligation AR . Non-Financial Declaration . Tax obligation
:selected: :selected:","partially, NFD"
207-1,Approach to tax,"71 SR . Sustainable corporate governance . Tax obligation @ AR . Non-Financial Declaration > Tax obligation
:selected: :selected:","partially, NFD"
207-2,"Tax governance, control, and risk man- agement","71 SR . Sustainable corporate governance . Tax obligation AR . Non-Financial Declaration > Tax obligation
:selected: :selected:","partially, NFD"
207-3,Stakeholder engagement and manage- ment of concerns related to tax,"71 SR . Sustainable corporate governance . Tax obligation DAR . Non-Financial Declaration > Tax obligation
:selected: :selected:","partially, NFD"
