0,1,2,3,4
Standard,Disclosure,Reference,Additional information and reasons,External audit*
3-3,Management of material topics,"7 SR . Partnerships and political commitment > Materiality and goals 7 SR . Partnerships and political commitment · Responsible and transparent representation of interests
:selected: :selected:",,no
,,"7 SR . Partnerships and political commitment . Dialogue with stakeholders
:selected:",,
,,"7 SR . Partnerships and political commitment · Governance
:selected:",,
,,"7 SR . Partnerships and political commitment Positioning and measures on particularly relevant topics 7 SR . Partnerships and political commitment > Involvement in sustainability initiatives and associations 7 SR . Corporate citizenship . Materiality and goals
:selected: :selected: :selected:",,
,,"7 SR . Corporate citizenship . Corporate citizenship commitment 7 SR . Corporate citizenship . Extensive commitment - from donations to corporate volunteering 7 SR . Corporate citizenship . Rating and evaluation of activities
:selected: :selected: :selected:",,
413-1,"Operations with local community engagement, impact assessments, and development programs","7 SR . Partnerships and political commitment . Dialogue with stakeholders 7 SR . Corporate citizenship . For the locations
:selected: :selected:","The Mercedes-Benz Group is active at all major operating sites. Most of the societally and socially beneficial activities of our operating sites are decentralised. As a result, there is no central collection of data that could be used to calculate the percentage of operating sites where measures that involve local communities have been implemented. All activi- ties are recorded in our donation and sponsorship database. Information about centrally coordinated activities can be found in the ""Social Engagement"" chapter of this report.",no
413-2,Operations with significant actual and potential negative impacts on local com- munities,"71 SR . Sustainable corporate governance . Risk and opportunity management AR . Risk and Opportunity Report
:selected: :selected:",,no
