0,1,2,3
,2023,2022,20213
Employees with limited contracts1,"6,117","6,705","6,630"
Part-time quota2 as at 31 December 2023 (in %),8.8,9.1,9.1
Personnel costs in €billion,16.63,16.50,22.89
