0,1,2,3,4
Standard,Disclosure,Reference,Additional information and reasons,External audit*
3-3,Management of material topics,"71 SR . Sustainable corporate governance . Risk and opportunity management 7] SR . More sustainable urban mobility . Materiality and goals 71 SR > More sustainable urban mobility . Urban mobility 7SR . More sustainable urban mobility . Projects of the Urban Mobility Solutions unit 7 SR . Corporate citizenship . Materiality and goals 7 SR . Corporate citizenship . Corporate Citizenship Engagement
:selected: :selected: :selected: :selected: :selected: :selected:",,no
203-1,Infrastructure investments and services supported,"7] SR . Climate protection . Charging infrastructure and digital charging services 71 SR . More sustainable urban mobility . Projects of the Urban Mobility Solutions unit 71 SR . Corporate citizenship . Corporate citizenship commitment
:selected: :selected: :selected:",,no
203-2,Significant indirect economic impacts,,Comprehensive data on the indirect economic effects are currently not available. The Group is constantly working to improve its knowledge of indirect external effects.,no
