0,1
ProCent support at a glance,
,2023
ProCent support priorities,
Child and youth welfare,59%
Charitable projects,28%
Disability assistance,9%
"Animal welfare, environmental and nature conservation",4%
ProCent projects worldwide,
Europe,31
Germany,"1,651"
North/South America,29
Africa,161
Asia,76
Total,"1,948"
