0,1,2
Targets Target,horizon,Status as of 2023
More resource-efficient vehicles,,
Increase the share of secondary raw materials per vehicle1 - Cars 40%,2030,According to plan
Resource conservation in production2,,
Reduce energy consumption per vehicle3 - Cars -43% - Vans -25%,2030,According to plan
Reduce water consumption per vehicle3,,According to plan
- Cars -33%,2030,
- Vans -28%,,
Reduce the amount of waste for disposal,,
per vehicle4 - Cars -82%,2030,According to plan
- Vans -85%,,
Reduce the total amount of waste per,2030,According to plan
vehicle4,,
- Cars -35%,,
- Vans -30%,,
