0,1,2,3
Standard,Disclosure,Reference Additional information and reasons,External audit*
302-4,Reduction of energy consumption,"7 SR . Resource conservation . Reduction of energy consumption
:selected:",no
302-5,Reductions in energy requirements of products and services,"71 SR . Climate protection . Key figures Development of the average CO2 emissions of the Mercedes-Benz passenger car fleet in Europe 71 SR . Climate protection . Key figures Development of the CO2 emissions of the Mercedes-Benz van fleet in Europe on average 71 SR . Climate protection . Key figures Mercedes-Benz fleet consumption passenger cars in China 71 SR . Resource conservation . Reduction of energy consumption
:selected: :selected: :selected: :selected:",no
