0,1,2
Targets,Target horizon,Status as of 2023
Responsible political advocacy for the key issues to achieve the sustainable business goals.,Ongoing,On schedule (milestones reached in 2023)
The topics are:,,
"- Climate protection and adaption to climate
:unselected:",,
change,,
- Emission reduction - Resource conservation,,
"- More sustainable urban mobility
:unselected:",,
- Traffic safety,,
- Respect of human rights,,
Strengthen the credibility of the Mercedes- Benz Group through transparency of its political positions on sustainability issues,Ongoing,On schedule (milestone reached in 2023)
"Milestone: Update the ""Mercedes-Benz Group Climate Policy Report""",Ongoing,Target achieved
