0,1,2,3
Other diversity key figures,,,
,2023,20222,20212
Percentage of severely disabled persons,,,
Mercedes-Benz Group AG,3.43,3.77,4.06
Mercedes-Benz AG,6.27,6.31,6.42
Mercedes-Benz Mobility AG,0.82,0.74,0.99
Mercedes-Benz Bank AG,3.87,3.34,2.93
Average age of workforce1,42.5,42.4,42.5
Number of nations1,142,143,147
