0,1,2,3,4,5
Waste by waste type,2023,2022,2021,2020,2019
Uninstalled vehicle parts,"22,500","24,600","23,700","23,100","21,900"
Liquids,"2,100","2,800","2,200","2,200","2,100"
Packaging,"4,500","5,000","5,500","5,600","6,100"
Total,"29,100","32,400","31,400","30,900","30,100"
