0,1,2,3,4
Standard,Disclosure,Reference,Additional information and reasons,External audit*
404-3,Percentage of employees receiving regu- lar performance and career develop- ment reviews,"7 SR . People . Leadership culture 7 SR . People . Organisation and agreements
:selected: :selected:",The exact percentage is not determined currently. The Mercedes-Benz Group comprehen- sively ensures the regular assessment of employee performance by means of various measures at different management levels.,no
