0,1,2,3
GRI 401-1,,,
,2023,20222,"20212, 3"
Europe,"1,374","1,549","1,159"
thereof Germany,962,916,325
NAFTA,806,"1,467","1,741"
thereof USA,750,"1,408","1,288"
Asia,353,417,317
thereof China,200,259,159
Rest of world,76,113,145
Total,"2,609","3,546","3,362"
