0,1,2,3,4
Standard,Disclosure,Reference,Additional information and reasons,External audit*
201-1,Direct economic value generated and,"AR . Profitability, Liquidity and Capital Resources,",,no
,distributed,Financial Position,,
,,AR . Further Information . Key figures,,
201-2,Financial implications and other risks,7 SR . Sustainable corporate governance . Risk and,,"yes, Risk and"
,and opportunities due to climate change,opportunity management AR . Risk and Opportunity Report,,Opportunity
,,,,Report
201-3,Defined benefit plan obligations and other retirement plans,"7 SR . People . Key figures Pension provisions of Mercedes-Benz Group (in bill. euros)
:selected:",201-3 b) + d) + e): The data are currently not collected in the required form.,no
,,AR . Risk and Opportunity Report . Risks and opportunities relating to pension plans,,
201-4,Financial assistance received from gov- ernment,"7 SR . Partnerships and political commitment . Party donations and political contributions AR . Profitability, Liquidity and Capital Resources,",,no
,,,,
,,Financial Position . Refinancing,,
,,AR . Notes to the Consolidated Financial Statements > Other operating income and expense,,
