0,1,2,3,4,5,6
Revenue,,,,,,
,2023,,,,,2022
,Taxonomy-aligned revenue6,Total revenue,"Proportion of Taxonomy-aligned
revenue6","Taxonomy-aligned
revenue6","Total
revenue","Taxonomy-aligned
Proportion of revenue6"
,in millions of euros,in millions of euros,in %,in millions of euros,in millions of euros,in %
Revenue according to IFRS 15,"20,223","136,987",15%,"14,419","136,008",11%
Other revenue,800,"16,231",5%,575,"14,009",4%
Total,"21,023","153,218",14%,"14,994","150,017",10%
