0,1,2,3,4,5,6,7,8,9
Surface areas,,,,Production figures (in units)1,,,,,
,2023,2022,2021,,20232,2022,2021,2020,2019
Factory premises (in km2),33,28,28,Cars,"1,306,966","1,261,106","1,132,213","1,230,733","1,593,476"
Degree of soil sealing (in %),60,61,60,Vans,"397,996","360,874","336,847","323,907","369,191"
