0,1,2,3
GRI 306-3/-4/-5,,,
,20232,2022,20211
Non-hazardous waste for disposal,3,5,7
Non-hazardous waste for recy- cling3,145,135,151
Scrap for recycling,403,427,433
Hazardous waste for disposal,6,8,8
Hazardous waste for recycling3,48,47,51
Total,605,622,651
thereof total in production,565,584,610
