0,1,2,3,4,5,6
,2023,2022,2021,2020,2019,2018
Cars,,,,,,
CO2 direct (Scope 1),228,258,349,326,279,267
CO2 indirect (Scope 2) - market-based2,51,57,306,426,431,562
Total - Scope 1 & 2,279,316,655,752,711,829
,,,,,,
Vans,,,,,,
CO2 direct (Scope 1),250,269,353,333,346,355
CO2 indirect (Scope 2) - market-based2,9,9,141,147,160,196
Total - Scope 1 & 2,259,279,493,479,506,551
