0,1,2,3,4,5,6,7,8
SAFETY,,,,,FORVIA OBJECTIVES,,,
,,,2019,2022,2023,2025,2027,2030
,Number of accidents with and without lost time per million hours worked (FR1t indicator),FORVIA,,2.06,"2.70 V
:selected:",:unselected:,1.5,
,,FORVIA SE,2.05,1.44,"1.14 V
:selected:",,:unselected:,
