0,1,2,3,4
Commitments for the planet,,,,
KEY PERFORMANCE INDICATORS,,FORVIA OBJECTIVES,,
Environmental footprint of operations,FORVIA IN 2023,2025,2027,2030
CO2 emissions scopes 1 & 2 (MtCO2eq),-41% :selected:,Neutrality,,
Waste intensity (metric tons/€ millions of sales),Equal vs 2022,-28%,-34%,
Water intensity (m3/€ millions of sales) Circular economy of products,-31%,,,
"CO2 emissions full scopes (1, 2, 3) (MtCO2eq)",-5%,,,-45%
