0,1,2,3,4,5,6,7
BUSINESS ETHICS,,,,FORVIA OBJECTIVES,,,
,,2019,2022,2023,2025,2027,2030
:unselected: Percentage of targeted employees trained :unselected: in the Code of Ethics,FORVIA,,,"97% V
:selected:",100%,,
,FORVIA SE,93%,96.7%,"98.1% V
:selected:",,,
,,,,,,,
