0,1,2,3,4
88%,"227,000 t",68%,"3,055,000m3
of water consumption",794t
of production,of waste generated by sites (of which 63% was non-hazardous),waste recycling rate,,of volatile organic
plants were,,,,compound (VOC)
ISO 14001,,,,emissions
certified,,,,
