0,1,2,3,4,5,6,7
RESPONSIBLE VALUE CHAIN CO,FORVIA OBJECTIVES 2019 2022 2023 2025 2027 2030,,,,,,
"Percentage of direct purchasing volume assessed for CSR performance (representing about 2,000 direct suppliers)
:unselected:",FORVIA,,,"84%* V
:selected:",85% **,,
,FORVIA SE,80%,93%,,,,
"Minimum EcoVadis score of the suppliers in the panel
:selected:",FORVIA,,,45/100,55/100,,
,FORVIA SE,30/100,40/100,,,,
