0,1,2,3,4,5,6,7,8,9
Metric,Unit,Scope + perimeter,2018,2019,2020,2021,2022,Target % improvement 2018-2030,2030 equivalent
Adjusted absolute CO2e footprint1,Million tonnes,ArcelorMittal Scope 1+2,151.4,144.3,122.9,139.3,117.8,,
Adjusted absolute CO2e footprint1,Million tonnes,Europe Scope 1+2,67.4,63.9,51.3,59.9,53.3,,
Adjusted crude steel production1,Mt,ArcelorMittal,74.5,70.5,58.2,67.9,58.8,,
Adjusted Group CO2e intensity target KPI1 (steel and mining),tCO2e/tonne of steel,ArcelorMittal Scope 1+2,2.03,2.05,2.11,2.05,2.00,25% 1.52,
Adjusted Europe CO2e intensity target KPI' (steel),tCO2e/tonne of steel,Europe Scope 1+2,1.70,1.71,1.68,1.68,1.67,35% 1.11,
CO2e intensity steel only2,tCO2e/tonne of steel,Steel Scope 1+2+ limited scope 3,2.09,2.06,2.02,2.03,1.98,,
"Adjusted CO2e intensity1,2 steel only",tCO2e/tonne of steel,Steel Scope 1+2+ limited scope 3,2.07,2.05,2.04,2.02,1.98,,
