0,1,2,3
Segment,Basic oxygen furnace,Electric arc furnace,Total
NAFTA,3.1,5.6,8.7
Brazil,10.3,3.7,14.0
Europe,23.2,5.6,28.8
ACIS,6.5,—,6.5
Total,43.1,14.9,58.1
