0,1,2,3
Steel consumption per region (Tn),2021,2022,2023
Europe,"1,485,081","1,540,072","1,667,939"
North America,"1,112,524","541,567","541,748"
South America,"250,737","282,541","321,029"
Asia,"188,349",274.452,"293,752"
Total,"3,036,691","2,638,632","2,824,468"
