0,1,2,3
Energy consumption by fuel type (GJ),2021,2022,2023
Electricity,"3,762,902","3,977.471","4,167,390"
Natural gas,"2,604,914","2,358,550","2,388,841"
LPC,"282,400","335,083","338,281"
Diesel,"26,342","25,985","23,153"
Total energy consumption,"6,676,588","6,697,089","6,917,665"
Renewable energy consumption*,"347,915","1,329,133","1,735,762"
% of total consumption,5%,20%,25%
