0,1,2,3,4,5,6,7
Continent,"PROFILE
Total Employees",Women,Men,Under 25s,Indefinite-term contract,Professional youth training Disability,At the company > 10 years
Asia,"6,599","1,124","5,475",824,"5,769",24,"1,460"
Eastern Europe,"8,727","2,158","6,569",1.083,7.728,36 151,"1,575"
North America,"7,658","2,044","5,614",945,7.363,12 17,815
South America,"6,049",874,"5,175",908,"5,895",91 283,1.728
Western Europe,"15,229","2,572","12,657",963,"13,811",44 477,"8,536"
Total Gestamp,"44,262","8,772","35,490","4,723","40,566",613 952,"14,114"
