0,1,2
Ambition,Action,Alliances
Boost ambition and enhancement of the commitment of participating companies,"Promote action by identifying business cases, trends and major tools to move towards a ""Nature positive"" world",Build alliances with the main national and international stakeholders to become a player of reference
