0,1,2,3
Consumo de Materias Primas y Materiales Aprovisionados (% Tn),2021,2022,2023
Steel,97%,96%,96%
Aluminium,2%,3%,3%
Other procured materials:,1%,19%,1%
Paint,0.05%,0.05%,0.1%
Oil,0.05%,0.06%,0.09%
Binder agent,0.09%,0.03%,0.06%
Welding wire,0.26%,0.19%,0.34%
Electrodes,0.01%,0.01%,0.01%
Chemical products,0.09%,0.06%,0.14%
Welding gases,0.44%,0.60%,0.001%
