0,1,2,3
,S&P GLOBAL,SUSTAINALYTICS,ISS ESG
ESG performance and commitments,68/100,10.1 low risk,B- Prime
recognized by non-financial rating agencies,CDP CLIMATE A-,MSCI ESG RATINGS AAA,MOODY'S 63/100
