0,1,2,3,4,5
,ktCOzeq.,2019,2021,2022,2023
Emissions trajectory established as part of the SBTi commitment and outcomes,Scope 1,196,193,191,186
,Scope 2 (including renewable energy purchases),966,582,517,464
,"Upstream Scope 3 (purchased goods and services, and transportation and distribution)","9,479","8,617","8,697","8,317"
,Downstream Scope 3 (use of sold products),"39,000","36,845","35,814","36,200"
,"Total emissions (Scopes 1, 2 and 3)","49,640","46,237","45,220","45,168"
,"Annual greenhouse gas emissions target Scopes 1, 2 & 3","49,640","48,143","47,397","46,684"
,Achievement of the annual target,,:selected:,:selected:,:selected:
