0,1,2
"PERFORMANCE
- MAXIMUM 200%
COMPENSATION","SHARES
OF FIXED",CRITERIA WEIGHT (ADDING UP TO 100%)
INTERNAL PERFORMANCE CRITERIA,· ROCE: 30% · EBIT: 30%,60%
EXTERNAL PERFORMANCE CRITERION,· Total shareholder return (TSR): 10% CAC 40 TSR 10% Europe Automotive Equipment Suppliers Panel TSR,20%
CSR CRITERION: DIVERSITY,· Women on the different Group management 10% committees,
CSR CRITERION: CAP 50 PLAN,· Reduction trajectory of CO2 emissions in line 10% with the CAP 50 plan,
