0,1,2
,Proportion of turnover/total turnover,
,Taxonomy-aligned per objective,Taxonomy-eligible per objective
CCM,19.0%,19.0%
CCA,%,%
WTR,%,%
CE,%,%
PPC,%,%
BIO,%,%
