0,1
Organization,Rating
CDP Climate Change,A-
CDP Water,A
CDP SER (Supplier Engagement Rating),A
MSCI ESG Rating,"AAA, Industry leader, ranked No. 1 among automotive suppliers"
ISS-oekom,"B-, prime, Industry leader, ranked No. 1 among automotive suppliers, excluding tire manufacturers"
S&P Global Corporate Sustainability Assessment (CSA),68/100
Sustainalytics,"10.1 Low Risk, ESG Industry and Regional Top Rated"
Moody's,63/100
