0,1,2,3,4
Direct greenhouse gas emissions (ktCO2eq.) - Emission sources,2020,2021,2022,2023
Emissions generated by fuel oil and gas combustion at sites (ktCO2eq.),135.8,164.2,164.2,157.1
Direct emissions from non-energy processes (ktCO2eq.),5.6,4.5,2.7,1.7
Emissions caused by Valeo's vehicle fleet (ktCO2eq.),16.2,16.0,14.5,15.2
Fugitive emissions (refrigerant leakage) (ktCO2eq.),13.0,8.8,9.8,12.1
TOTAL DIRECT EMISSIONS (ktCO2eq.),170.6,193.5,191.1,186.1
TOTAL DIRECT EMISSIONS/SALES (tCO2eq./€m),11.4,11.3,10.7,9.1
