0,1,2,3,4
"Indirect emissions related to electricity consumption(1)(2) and other energy such as steam, compressed air, etc.",2019,2021,2022,2023
TOTAL INDIRECT EMISSIONS (ktCO2eq.),892.0,581.5,517.4,464.3
TOTAL INDIRECT EMISSIONS/SALES (tCO2eq./€m),47.6,33.9,29.1,22.6
