0,1,2,3,4,5,6,7,8,9
,,,,"EL; N/
EL","EL;
N/EL","N/EL
EL;","N/EL
EL;","N/EL
EL;","N/EL
EL;"
,CCM,,,,,,,,
"Transport by motorbikes,","6.5,",,,,,,,,
passenger cars and light,CCA,,,,,,,,
commercial vehicles,6.5,14,0.6%,EL,EL,N/EL,N/EL,N/EL,N/EL
"Repair, refurbishment and remanufacturing",CE 5.1,2,0.1%,N/EL,N/EL,N/EL,N/EL,EL,N/EL
Capex of Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities) (A.2.),,16,0.7%,0.6%,-%,-%,-%,,-%
A. Capex of Taxonomy-eligible activities (A.1. + A.2.),,310,14.0%,13.8%,-%,-%,-%,,-%
