0,1,2
STRATEGIC KPIS,COMMITMENT,RESULTS
Workforce gender balance: % women in leadership position (L1-L2-L3),Short-term (2025) Medium-term (2030) Long-term (2040),2021 2022 2023
,>30% >35% >40%,24% 27% 30%
