0,1,2,3,4,5
,Enlarged Europe,North America,South America,Middle East & Africa,China and India & Asia Pacific Total
2023,580,674,198,24,"6 1,482"
Total 2022,608,906,233,39,"22 1,808"
2021,776,881,140,45,"7 1,849"
