0,1,2,3,4,5
(in millions of euros),France,Other European countries,North America(1),Asia,Total
Present value of unfunded obligations,142,457,105,108,812
Present value of funded obligations,32,147,311,140,630
Market value of plan assets,(18),(97),(309),(165),(589)
"NET PROVISIONS RECOGNIZED AT DECEMBER 31, 2023",156,507,107,83,853
"Permanent employees at December 31, 2023(2)","12,263","36,356","15,318","21,704","85,641"
