0,1,2,3,4,5,6,7
Name,Position,Type of security,Type of transaction,"transaction
Date of","price
Gross unit","shares
Number of",Gross amount
Stéphanie Frachet,Director,Share,Purchase,"March 1, 2023",€20.0653,"1,500","€30,097.95"
Christophe Périllat,Chief Executive Officer,Share,Vesting of performance shares allotted by the Board of Directors on March 24 2020(1),"March 24, 2023",N/A,"67,198",N/A
