0,1,2
(in millions of euros),"December 31, 2023","December 31, 2022"
Lease commitments,162,22
"Sureties, guarantees and endorsements given",—,7
Non-cancelable asset purchase commitments,910,620
Other commitments,10,52
TOTAL,"1,082",701
