0,1
Audit & Risks Committee,
Composition,Key figures
· Thierry Moulonguet (Chair)(3),7 members
· Bruno Bezard*,5 meetings
"· Bpifrance Participations,",97.14% attendance rate
represented by Alexandre Ossola*,50% women
· Fonds Stratégique de,members(2)
"Participations, represented",83.3% independent
by Julie Avrane,members(2)
· Mari-Noëlle Jégo-Laveissière*,
· Éric Poton **,
· Véronique Weill*,
