0,1,2
(in millions of euros),2023,2022
LONG-TERM INVESTMENTS AT JANUARY 1,366,290
Acquisitions,9,61
Disposals,—,(2)
Changes in fair value recognized in equity,(1),(4)
Changes in fair value recognized in income,(33),28
Dividends paid by Company mutual funds,(13),(7)
Translation adjustment,(7),—
LONG-TERM INVESTMENTS AT DECEMBER 31,321,366
