0,1,2
Investments (in millions of euros) 2023 2022,,
"Property, plant and equipment","1,182","1,001"
Intangible assets,"1,031",691
Including capitalized development expenditure,995,657
TOTAL,"2,213","1,692"
as a % of sales,10.0%,8.4%
