0,1
Compensation Committee,
Composition,Key figures
· Véronique Weill* (Chair),5 members
· Ulrike Steinhorst (in charge,5 meetings
of CSR issues)(1),88% attendance rate
· Stéphanie Frachet*,75% women
· Patrick Sayer*,members(2)
· Grzegorz Szelag*,75% independent members (2)
