0,1,2
(in millions of euros),"December 31, 2023","December 31, 2022"
Receivables sold:,,
· Recurring sales of receivables,123,127
· Non-recurring sales of receivables,217,174
ACCOUNTS AND NOTES RECEIVABLE SOLD,340,301
Financial cost,14,5
