0,1,2,3
(in millions of euros),France,Europe (excl. France),Outside Europe
Payroll costs excluding social security contributions and temporary staff (F),776,"1,352","1,441"
Social security contributions (G),274,259,229
Total payroll costs (excluding pension costs) (H),"1,050","1,611","1,671"
Contribution rate (G/F),35%,19%,16%
