0,1,2
Risk,Risk factors,
Strategy risks,Risks related to the automotive equipment industry,:selected: ●
,Risks related to attracting and retaining talent,:selected: ●
Operational risks,Risks related to the development and launch of new products,:selected: ●
,Risks related to the quality and safety of products and services sold,:selected: ●
,Cybersecurity,:selected: ●
,Supplier and supply chain failure risk,:selected: ●
Financial risks,Risks related to an increase in operating costs,:selected: ●
,Foreign currency risk,:selected: ●
Criticality . High :selected: · Medium :selected:,,
