0,1,2,3,4,5
(in millions of euros),Software,Patents and licenses,"Capitalized
development
expenditure","relationships and
other intangible
Customer assets",Total
"GROSS CARRYING AMOUNT AT JANUARY 1, 2022",438,246,"4,708",656,"6,048"
Accumulated amortization and impairment,(392),(172),"(2,775)",(342),"(3,681)"
"NET CARRYING AMOUNT AT JANUARY 1, 2022",46,74,"1,933",314,"2,367"
Acquisitions,20,4,657,10,691
Disposals,—,—,"(2)
:selected:",—,(2)
Changes in scope,8,243,1,169,421
Reversals of/(additions to) impairment,—,—,27,—,27
Amortization,(26),(34),(614),(54),(728)
Translation adjustment,—,1,6,(9),(2)
Reclassifications,4,—,—,(4),—
"NET CARRYING AMOUNT AT DECEMBER 31, 2022",52,288,"2,008",426,"2,774"
