0,1,2
(in millions of euros),2023,2022
Operating margin,838,635
"Amortization and depreciation of intangible assets and property, plant and equipment, and impairment losses(1)","1,836","1,783"
Impact of government subsidies and grants on non-current assets recognized in the statement of income,(41),(33)
Dividends paid by equity-accounted companies,14,16
EBITDA,"2,647","2,401"
as a % of sales,12.0%,12.0%
