0,1,2,3,4
,2023 REPORTED,2024 GUIDANCE(1) (2),2025 OBJECTIVES (2),PREVIOUS 2025 OBJECTIVES (February 2022)
Sales (in billions of euros),22.0,22.5 to 23.5,24.5 to 25.5,~27.5
EBITDA (as a % of sales),12%,12.1%-13.1%,13.5%-14.5%,~14.5%
Operating margin (as a % of sales),3.8%,4.0%-5.0%,5.5%-6.5%,~6.5%
Free cash flow before one-time exceptional cost reduction measures (3) (in millions of euros),,~500,~800,-
Free cash flow after one-time exceptional cost reduction measures(3) (in millions of euros),379,~350,~650,"~800-1,000"
