0,1,2,3,4,5,6,7,8
(in millions of euros),Contractual cash flows,,,,,,,
,Carrying amount,<1 year,≥1 year and ≤5 years,,,,>5 years,Total
,,,2025,2026,2027,2028,2029 and beyond,
Forward foreign currency contracts used as hedges:,,,,,,,,
· Assets,106,82,14,9,"1
:unselected:",—,—,106
· Liabilities,(17),(17),"—
:unselected:","—
:unselected:","—
:unselected:",—,—,(17)
Currency swaps used as hedges:,,,,,,,,
· Assets,28,27,"—
:unselected:","1
:unselected:","—
:unselected:",—,—,28
· Liabilities,(42),(42),—,"—
:unselected:","—
:unselected: :unselected:","—
:unselected:",—,(42)
