0,1,2
RISK CATEGORIES,RISK FACTORS,
STRATEGY RISKS,· Risks related to the automotive equipment industry,:selected:
,· Risks related to attracting and retaining talent,:selected:
OPERATIONAL RISKS,. Risks related to,
,the development and launch of new products,:selected:
,· Risks related to the quality and safety of products and services sold,:selected:
,· Cybersecurity,:selected:
,· Supplier and supply chain failure risk,:selected:
FINANCIAL RISKS,· Risks related to an increase in operating costs,:selected:
,· Foreign currency risk,:selected:
