0,1,2
(in €),2022,2023(1)
"Christophe Périllat Chief Executive Officer since January 26, 2022",,
,,
Compensation allocated for the financial year (broken down in AMF Table No. 2),"1,950,922(2)","1,929,755"
Value of multi-annual variable compensation allocated during the financial year,-,-
Value of stock purchase options allotted during the financial year,-,-
Value of performance shares allotted during the financial year (broken down in AMF Table No. 6)(3),"1,448,227(4)","1,949,988"
TOTAL,"3,399,149","3,879,743"
"Christophe Périllat Deputy Chief Executive Officer from May 26, 2021 to January 26, 2022",,
Compensation allocated for the financial year (prorata to the period served as Deputy Chief Executive Officer) (broken down in AMF Table No. 2),"50,490(5)",-
Value of multi-annual variable compensation allocated during the financial year,-,-
Value of stock purchase options allotted during the financial year,-,-
Value of performance shares allotted during the financial year (broken down in AMF Table No. 6),-,-
TOTAL,"50,490",-
