0,1,2
(in millions of euros),"December 31, 2023","December 31, 2022"
Negotiable European Commercial Paper,698,"1,059"
Bilateral bank loan,50,—
SHORT-TERM DEBT,748,"1,059"
Current accounts and loans with Group subsidiaries,"4,268","3,487"
Bank borrowings,71,76
Other short-term debt,167,164
OTHER SHORT-TERM DEBT,"4,506","3,727"
SHORT-TERM DEBT,"5,254","4,786"
