0,1,2,3,4,5
(in millions of euros),France,Other European countries(1),North America,Asia(1),Total
Cash at bank,—,1,6,36,43
Shares,18,8,122,27,175
Government bonds,"—
:unselected:",51,131,65,247
Corporate bonds,—,35,50,30,115
Real estate,"—
:unselected:",—,—,1,1
Other,—,2,—,6,8
"BREAKDOWN OF PLAN ASSETS AT DECEMBER 31, 2023",18,97,309,165,589
