0,1,2,3,4,5
(in millions of euros),France,Other European countries(1),North America,Asia(1),Total
Cash at bank,"—
:unselected:",1,3,59,63
Shares,"12
:selected:",8,131,29,180
Government bonds,—,51,132,65,248
Corporate bonds,—,30,46,12,88
Real estate,"—
:unselected:",—,—,1,1
Other,—,2,—,2,4
"BREAKDOWN OF PLAN ASSETS AT DECEMBER 31, 2022",12,92,312,168,584
