0,1,2,3,4,5,6
(in thousands of euros),"Article D.441 1 - 2° of the French Commercial Code: Outstanding outgoing invoices as of December 31, 2023",,,,,
,0 days (indicative),1 to 30 days,31 to 60 days,61 to 90 days,91+ days,Total (1 day or more)
(A) BY AGING CATEGORY,,,,,,
Number of invoices,6,3,3,1,2,9
Total amount of invoices (incl. VAT),"1,189","1,461",54,11,37,"1,563"
Percentage of total sales over the period (incl. VAT),3.5%,4.3%,0.2%,-%,0.1%,4.7%
